scene,run_tag,T,F,L,per_level_scale,psnr,psnr_std,ssim,lpips,vram_peak_mb,t_train_s,front,on_2d_front
chair,chair_T19_F8_L16_s0,19,8,16,1.381913,33.9198,1.5785,0.97901,0.01411,2980.6,310.434,3d,True
chair,chair_T19_F4_L16_s0,19,4,16,1.381913,33.5854,1.5901,0.97853,0.01476,2288.6,257.611,3d,True
chair,chair_T17_F8_L16_s0,17,8,16,1.381913,33.5792,1.6185,0.97821,0.01585,2234.6,286.807,3d,True
chair,chair_T19_F8_L8_s0,19,8,8,2.0,33.5645,1.5835,0.97843,0.01536,2266.6,204.689,3d,False
chair,chair_T17_F4_L16_s0,17,4,16,1.381913,33.4992,1.5402,0.97751,0.01627,1914.6,233.77,3d,True
chair,chair_T17_F8_L8_s0,17,8,8,2.0,33.3889,1.4628,0.97747,0.0171,1890.6,187.863,3d,True
chair,chair_T19_F4_L8_s0,19,4,8,2.0,33.1183,1.6751,0.97686,0.01735,2001.9,175.542,3d,False
chair,chair_T15_F4_L16_s0,15,4,16,1.381913,32.7608,1.5525,0.97431,0.02111,1810.3,207.55,3d,True
chair,chair_T19_F8_L4_s0,19,8,4,5.039684,32.7544,1.5968,0.97549,0.02066,2000.6,149.886,3d,False
chair,chair_T15_F8_L8_s0,15,8,8,2.0,32.594,1.5871,0.97296,0.0233,1798.6,174.782,3d,True
chair,chair_T17_F4_L8_s0,17,4,8,2.0,32.4227,1.6509,0.97452,0.02082,1802.6,159.348,3d,False
chair,chair_T17_F8_L4_s0,17,8,4,5.039684,32.2694,1.4865,0.97131,0.02673,1830.6,140.498,3d,False
chair,chair_T15_F2_L16_s0,15,2,16,1.381913,31.6887,1.5559,0.96784,0.02896,1776.7,180.207,3d,True
chair,chair_T19_F4_L4_s0,19,4,4,5.039684,31.6535,1.6946,0.9698,0.02713,1888.6,133.654,3d,False
chair,chair_T15_F4_L8_s0,15,4,8,2.0,31.4753,1.5355,0.96626,0.03058,1776.7,152.962,3d,False
chair,chair_T17_F2_L8_s0,17,2,8,2.0,31.4568,1.795,0.96941,0.0271,1788.6,137.469,3d,False
chair,chair_T17_F4_L4_s0,17,4,4,5.039684,31.4119,1.6192,0.96586,0.03387,1784.6,124.247,3d,False
chair,chair_T15_F8_L4_s0,15,8,4,5.039684,31.1881,1.533,0.96129,0.03579,1756.6,134.612,3d,True
chair,chair_T19_F2_L4_s0,19,2,4,5.039684,31.1233,1.5855,0.96404,0.03516,1794.6,122.202,3d,False
chair,chair_T15_F2_L8_s0,15,2,8,2.0,30.499,1.5976,0.95631,0.04448,1735.7,132.742,3d,True
chair,chair_T15_F4_L4_s0,15,4,4,5.039684,29.9481,1.598,0.94798,0.05182,1756.7,120.141,3d,False
chair,chair_T17_F2_L4_s0,17,2,4,5.039684,29.9035,1.6637,0.95204,0.04848,1768.6,114.196,3d,False
chair,chair_T15_F2_L4_s0,15,2,4,5.039684,28.1876,1.6358,0.9258,0.07372,1750.6,112.738,3d,False
lego,lego_T19_F8_L16_s0,19,8,16,1.381913,33.5256,1.8724,0.96431,0.01825,2974.6,272.911,3d,True
lego,lego_T19_F4_L16_s0,19,4,16,1.381913,33.4354,1.704,0.96561,0.01978,2262.6,229.686,3d,True
lego,lego_T17_F8_L16_s0,17,8,16,1.381913,33.3666,1.7365,0.96482,0.02007,2214.6,253.891,3d,True
lego,lego_T19_F8_L8_s0,19,8,8,2.0,33.3427,1.6866,0.96585,0.01989,2260.6,173.425,3d,False
lego,lego_T17_F4_L16_s0,17,4,16,1.381913,33.1885,1.6667,0.96449,0.02184,1908.6,201.005,3d,True
lego,lego_T19_F4_L8_s0,19,4,8,2.0,33.0708,1.6822,0.96346,0.02214,1972.6,136.271,3d,False
lego,lego_T17_F8_L8_s0,17,8,8,2.0,32.7363,1.601,0.96235,0.02411,1908.6,155.584,3d,False
lego,lego_T17_F2_L16_s0,17,2,16,1.381913,32.6701,1.6413,0.96038,0.02523,1796.6,160.22,3d,True
lego,lego_T19_F2_L8_s0,19,2,8,2.0,32.5799,1.599,0.95809,0.02676,1870.6,122.75,3d,False
lego,lego_T19_F8_L4_s0,19,8,4,5.039684,32.4833,1.6586,0.96157,0.02475,2018.6,121.381,3d,False
lego,lego_T17_F4_L8_s0,17,4,8,2.0,32.2606,1.7669,0.95723,0.02876,1816.6,126.902,3d,False
lego,lego_T19_F4_L4_s0,19,4,4,5.039684,32.0605,1.5037,0.95531,0.02865,1882.6,106.133,3d,False
lego,lego_T15_F8_L8_s0,15,8,8,2.0,31.524,1.9043,0.95119,0.03344,1808.6,135.745,3d,False
lego,lego_T17_F8_L4_s0,17,8,4,5.039684,31.484,1.8698,0.95164,0.03231,1819.6,113.342,3d,False
lego,lego_T17_F2_L8_s0,17,2,8,2.0,31.4631,1.3091,0.9492,0.03316,1782.6,106.265,3d,True
lego,lego_T15_F2_L16_s0,15,2,16,1.381913,31.2946,1.5711,0.94515,0.03745,1770.6,133.35,3d,True
lego,lego_T17_F4_L4_s0,17,4,4,5.039684,30.7623,1.3954,0.94053,0.0393,1782.6,94.576,3d,False
lego,lego_T15_F4_L8_s0,15,4,8,2.0,30.6993,1.6496,0.94068,0.04114,1772.6,116.471,3d,False
lego,lego_T15_F8_L4_s0,15,8,4,5.039684,29.5403,1.4558,0.92423,0.05316,1770.6,102.942,3d,False
lego,lego_T15_F2_L8_s0,15,2,8,2.0,29.4525,1.3724,0.92222,0.05436,1714.6,99.815,3d,True
lego,lego_T17_F2_L4_s0,17,2,4,5.039684,28.7311,1.4066,0.91094,0.06662,1748.6,90.735,3d,False
lego,lego_T15_F2_L4_s0,15,2,4,5.039684,26.2144,1.3634,0.86587,0.10576,1744.6,84.387,3d,False
INTERSECAO,T15_F2_L4,15,2,4,,,,,,,,intersecao,
INTERSECAO,T15_F2_L8,15,2,8,,,,,,,,intersecao,
INTERSECAO,T15_F2_L16,15,2,16,,,,,,,,intersecao,
INTERSECAO,T15_F4_L8,15,4,8,,,,,,,,intersecao,
INTERSECAO,T15_F8_L4,15,8,4,,,,,,,,intersecao,
INTERSECAO,T15_F8_L8,15,8,8,,,,,,,,intersecao,
INTERSECAO,T17_F2_L4,17,2,4,,,,,,,,intersecao,
INTERSECAO,T17_F2_L8,17,2,8,,,,,,,,intersecao,
INTERSECAO,T17_F4_L4,17,4,4,,,,,,,,intersecao,
INTERSECAO,T17_F4_L8,17,4,8,,,,,,,,intersecao,
INTERSECAO,T17_F4_L16,17,4,16,,,,,,,,intersecao,
INTERSECAO,T17_F8_L4,17,8,4,,,,,,,,intersecao,
INTERSECAO,T17_F8_L8,17,8,8,,,,,,,,intersecao,
INTERSECAO,T17_F8_L16,17,8,16,,,,,,,,intersecao,
INTERSECAO,T19_F4_L4,19,4,4,,,,,,,,intersecao,
INTERSECAO,T19_F4_L8,19,4,8,,,,,,,,intersecao,
INTERSECAO,T19_F4_L16,19,4,16,,,,,,,,intersecao,
INTERSECAO,T19_F8_L4,19,8,4,,,,,,,,intersecao,
INTERSECAO,T19_F8_L8,19,8,8,,,,,,,,intersecao,
INTERSECAO,T19_F8_L16,19,8,16,,,,,,,,intersecao,
